Sl No.,Easting,Northing,Distance,Elevation,CS No.,
1315,771192.2,2575140.0,118.29,-13.501,17,
1316,771192.0,2575140.2,118.52,-13.497,17,
1317,771188.0,2575143.7,123.84,-13.078,17,
1318,771187.6,2575144.0,124.36,-13.021,17,
1319,771184.0,2575147.2,129.16,-12.269,17,
1320,771183.0,2575148.0,130.43,-12.058,17,
1321,771180.0,2575150.7,134.48,-11.182,17,
1322,771178.5,2575152.0,136.50,-10.811,17,
1323,771176.0,2575154.2,139.80,-10.332,17,
1324,771173.9,2575156.0,142.57,-9.915,17,
1325,771172.0,2575157.7,145.11,-9.683,17,
1326,771169.3,2575160.0,148.64,-9.361,17,
1327,771168.0,2575161.2,150.43,-9.331,17,
1328,771164.8,2575164.0,154.71,-9.181,17,
1329,771164.0,2575164.7,155.75,-9.177,17,
1330,771160.2,2575168.0,160.78,-9.044,17,
1331,771160.0,2575168.2,161.07,-9.039,17,
1332,771156.0,2575171.7,166.39,-8.941,17,
1333,771155.7,2575172.0,166.85,-8.926,17,
1334,771152.0,2575175.2,171.71,-8.780,17,
1335,771151.1,2575176.0,172.92,-8.744,17,
1336,771148.0,2575178.7,177.02,-8.599,17,
1337,771146.5,2575180.0,178.99,-8.528,17,
1338,771144.0,2575182.2,182.34,-8.390,17,
1339,771142.0,2575184.0,185.06,-8.196,17,
1340,771140.0,2575185.7,187.66,-7.945,17,
1341,771137.4,2575188.0,191.13,-7.617,17,
1342,771136.0,2575189.2,192.98,-7.456,17,
1343,771132.8,2575192.0,197.20,-7.040,17,
1344,771132.0,2575192.7,198.30,-6.911,17,
1345,771128.3,2575196.0,203.27,-6.328,17,
1346,771128.0,2575196.2,203.62,-6.284,17,
1347,771124.0,2575199.7,208.93,-5.634,17,
1348,771123.7,2575200.0,209.33,-5.579,17,
1349,771120.0,2575203.2,214.25,-4.851,17,
1350,771119.1,2575204.0,215.40,-4.692,17,
1351,771116.0,2575206.7,219.57,-3.972,17,
1352,771114.6,2575208.0,221.47,-3.645,17,
1353,771112.0,2575210.3,224.89,-3.064,17,
1354,771110.0,2575212.0,227.54,-2.733,17,
1355,771108.0,2575213.8,230.21,-2.442,17,
1356,771105.4,2575216.0,233.61,-2.110,17,
1357,771104.0,2575217.3,235.53,-1.930,17,
1358,771100.9,2575220.0,239.68,-1.572,17,
1359,771100.0,2575220.8,240.85,-1.488,17,
1360,771096.3,2575224.0,245.75,-1.196,17,
1361,771096.0,2575224.3,246.16,-1.174,17,
1362,771092.0,2575227.8,251.48,-0.890,17,
1363,771091.7,2575228.0,251.82,-0.872,17,
1364,771088.0,2575231.3,256.80,-0.621,17,
1365,771087.2,2575232.0,257.89,-0.572,17,
1366,771084.0,2575234.8,262.12,-0.396,17,
1367,771082.6,2575236.0,263.96,-0.309,17,
1368,771080.0,2575238.3,267.44,-0.144,17,
1369,771078.1,2575240.0,270.03,-0.018,17,
1370,771076.0,2575241.8,272.76,0.031,17,
1371,771073.5,2575244.0,276.10,0.187,17,
1372,771073.4,2575244.1,276.19,0.196,17,
1373,771264.4,2575057.8,0.00,6.138,18,
1374,771264.0,2575058.2,0.32,6.144,18,
1375,771262.0,2575060.0,5.65,6.048,18,
1376,771260.0,2575061.8,12.54,5.856,18,
1377,771257.6,2575064.0,12.54,5.856,18,
1378,771256.0,2575065.5,12.96,5.217,18,
1379,771253.2,2575068.0,14.80,4.429,18,
1380,771252.0,2575069.1,17.41,3.133,18,
1381,771248.9,2575072.0,17.82,2.374,18,
1382,771248.0,2575072.8,20.46,1.456,18,
1383,771244.5,2575076.0,23.51,1.484,18,
1384,771244.0,2575076.5,24.49,0.156,18,
