N,E,Date,Time,RL,Others,Section No
2646782.23,715682.4,16-11-2024,40:46.8,1.72,-43.69,4
2646782.36,715681.26,16-11-2024,40:47.7,1.66,-43.57,4
2646782.51,715680.06,16-11-2024,40:48.7,1.7,-43.57,4
2646782.65,715678.79,16-11-2024,40:49.8,1.74,-43.57,4
2646782.78,715677.45,16-11-2024,40:50.8,1.79,-43.63,4
2646782.89,715676.07,16-11-2024,40:51.8,1.84,-43.69,4
2646783.01,715674.62,16-11-2024,40:52.7,1.88,-43.69,4
2646783.1,715673.13,16-11-2024,40:53.8,1.95,-43.76,4
2646783.18,715671.61,16-11-2024,40:54.8,2.01,-43.82,4
2646783.25,715670.05,16-11-2024,40:55.7,2.07,-43.86,4
2646783.35,715668.45,16-11-2024,40:56.8,2.13,-43.85,4
2646783.41,715666.82,16-11-2024,40:57.7,2.19,-43.88,4
2646783.46,715665.17,16-11-2024,40:58.7,2.26,-43.94,4
2646783.49,715663.5,16-11-2024,40:59.9,2.33,-43.98,4
2646783.53,715661.84,16-11-2024,41:00.7,2.41,-44.08,4
2646783.55,715660.17,16-11-2024,41:01.8,2.48,-44.16,4
2646783.56,715658.54,16-11-2024,41:02.7,2.54,-44.24,4
2646783.58,715656.89,16-11-2024,41:03.7,2.59,-44.31,4
2646783.59,715655.25,16-11-2024,41:04.7,2.64,-44.37,4
2646783.6,715653.64,16-11-2024,41:05.7,2.7,-44.43,4
2646783.61,715652.05,16-11-2024,41:06.9,2.76,-44.51,4
2646783.61,715650.47,16-11-2024,41:07.7,2.82,-44.59,4
2646783.61,715648.94,16-11-2024,41:08.7,2.88,-44.67,4
2646783.58,715647.42,16-11-2024,41:09.7,2.95,-44.76,4
2646783.55,715645.93,16-11-2024,41:10.7,3.02,-44.82,4
2646783.54,715644.48,16-11-2024,41:11.8,3.11,-44.85,4
2646783.53,715643.07,16-11-2024,41:12.7,3.23,-44.92,4
2646783.54,715641.72,16-11-2024,41:13.7,3.36,-45.11,4
2646783.54,715640.42,16-11-2024,41:14.7,3.51,-45.26,4
2646783.55,715639.16,16-11-2024,41:15.7,3.67,-45.45,4
2646783.58,715637.92,16-11-2024,41:16.8,3.84,-45.64,4
2646783.62,715636.71,16-11-2024,41:17.7,4,-45.78,4
2646783.69,715635.52,16-11-2024,41:18.7,4.18,-45.95,4
2646783.8,715634.32,16-11-2024,41:19.7,4.35,-46.11,4
2646783.92,715633.15,16-11-2024,41:20.7,4.53,-46.29,4
