N,E,RL,Section No,pointno
2646761.14,715672.82,1.37,2,P87
2646761.37,715672.37,1.4,2,P88
2646761.62,715671.91,1.54,2,P89
2646761.87,715671.44,1.68,2,P90
2646762.07,715670.93,1.7,2,P91
2646762.26,715670.41,1.76,2,P92
2646762.43,715669.89,1.78,2,P93
2646762.59,715669.36,1.79,2,P94
2646762.74,715668.83,1.8,2,P95
2646762.89,715668.27,1.81,2,P96
2646763.04,715667.69,1.85,2,P97
2646763.19,715667.11,1.83,2,P98
2646763.34,715666.48,1.85,2,P99
2646763.5,715665.85,1.85,2,P100
2646763.66,715665.18,1.91,2,P101
2646763.82,715664.49,1.93,2,P102
2646764,715663.77,1.98,2,P103
2646764.15,715663.03,1.95,2,P104
2646764.3,715662.26,1.94,2,P105
2646764.43,715661.45,1.94,2,P106
2646764.55,715660.62,1.95,2,P107
2646764.66,715659.76,1.93,2,P108
2646764.75,715658.87,1.95,2,P109
2646764.8,715657.96,1.99,2,P110
2646764.84,715657.02,2.06,2,P111
2646764.86,715656.06,2.12,2,P112
2646764.88,715655.09,2.21,2,P113
2646764.87,715654.13,2.25,2,P114
2646764.87,715653.15,2.41,2,P115
2646764.86,715652.16,2.56,2,P116
2646764.84,715651.12,2.72,2,P117
2646764.82,715650.06,2.87,2,P118
2646764.79,715648.98,3.03,2,P119
2646764.76,715647.87,3.19,2,P120
2646764.72,715646.77,3.32,2,P121
2646764.67,715645.67,3.43,2,P122
2646764.61,715644.53,3.53,2,P123
2646764.54,715643.37,3.64,2,P124
2646764.49,715642.2,3.74,2,P125
2646764.42,715641.01,3.85,2,P126
2646764.34,715639.82,3.95,2,P127
2646764.26,715638.62,4.06,2,P128
2646764.18,715637.43,4.19,2,P129
2646764.1,715636.25,4.31,2,P130
2646764,715635.06,4.43,2,P131
2646763.91,715633.89,4.55,2,P132
2646763.84,715632.71,4.67,2,P133
2646763.73,715631.51,4.78,2,P134
2646763.63,715630.34,4.87,2,P135
2646763.52,715629.17,4.94,2,P136
2646763.41,715628.01,5,2,P137
2646763.33,715626.86,5.06,2,P138
2646763.24,715625.71,5.12,2,P139
2646763.14,715624.56,5.17,2,P140
2646763.05,715623.42,5.23,2,P141
2646762.97,715622.28,5.29,2,P142
2646762.91,715621.18,5.38,2,P143
2646762.87,715620.13,5.47,2,P144
2646762.83,715619.09,5.56,2,P145
2646762.78,715618.05,5.64,2,P146
2646762.76,715617.01,5.76,2,P147
2646762.79,715616.01,5.89,2,P148
2646762.83,715615.01,6.01,2,P149
2646762.87,715614.02,6.14,2,P150
2646762.92,715613.06,6.25,2,P151
2646763,715612.12,6.35,2,P152
2646763.1,715611.22,6.46,2,P153
2646763.23,715610.35,6.52,2,P154
2646763.37,715609.5,6.58,2,P155
2646763.56,715608.66,6.64,2,P156
2646763.78,715607.87,6.7,2,P157
2646764.04,715607.11,6.71,2,P158
